# PURPOSE: This file distributes the Hp30 index and ap30 index of the geomagnetic Hpo index family
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences, please cite:
# Yamazaki, Y., Matzka, J., da Silva, M.V., Kervalishvili, G., Korte, M., Rauberg, J., 2024. Assessment of geomagnetic activity for the 
# Kp=9 "Gannon Storm" in May 2024 based on version 3.0 Hpo Indices. ESS Open Archive, https://doi.org/10.22541/essoar.171838396.68563140/v1
#
# Hp30 and ap30
# Hp30 and ap30 are produced by Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences. Both indices are unitless.
# Described in: Yamazaki et al. (2024), see reference above.
# Data publication: Matzka, J., Bronkalla, O., da Silva, M.V., Kervalishvili, G., Rauberg, J., Korte., M. and Yamazaki, Y., 2024. Geomagnetic
# Hpo index. V. 3.0. GFZ Data Services, https://doi.org/10.5880/Hpo.0003
# 
# Short file description (for a detailed file description, see Hpo_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Hp30 and -1 for ap30
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Hp30 and ap30 are given
# hh._m is mid time in hours of interval for which Hp30 and ap30 are given
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Hp30, ap30
# Currently always D = 0, reserved for future use.
#
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
#
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m   Hp30 ap30 D
2026 09 09 08.0 08.25 34585.33333 34585.34375  1.667    6 0
2026 09 09 08.5 08.75 34585.35417 34585.36458  1.333    5 0
2026 09 09 09.0 09.25 34585.37500 34585.38542  1.333    5 0
2026 09 09 09.5 09.75 34585.39583 34585.40625  1.333    5 0
2026 09 09 10.0 10.25 34585.41667 34585.42708  2.667   12 0
2026 09 09 10.5 10.75 34585.43750 34585.44792  2.000    7 0
2026 09 09 11.0 11.25 34585.45833 34585.46875  3.333   18 0
2026 09 09 11.5 11.75 34585.47917 34585.48958  3.000   15 0
2026 09 09 12.0 12.25 34585.50000 34585.51042  2.333    9 0
2026 09 09 12.5 12.75 34585.52083 34585.53125  3.333   18 0
2026 09 09 13.0 13.25 34585.54167 34585.55208  3.667   22 0
2026 09 09 13.5 13.75 34585.56250 34585.57292  3.333   18 0
2026 09 09 14.0 14.25 34585.58333 34585.59375  3.000   15 0
2026 09 09 14.5 14.75 34585.60417 34585.61458  3.333   18 0
2026 09 09 15.0 15.25 34585.62500 34585.63542  3.000   15 0
2026 09 09 15.5 15.75 34585.64583 34585.65625 -1.000   -1 0
2026 09 09 16.0 16.25 34585.66667 34585.67708 -1.000   -1 0
2026 09 09 16.5 16.75 34585.68750 34585.69792 -1.000   -1 0
2026 09 09 17.0 17.25 34585.70833 34585.71875 -1.000   -1 0
2026 09 09 17.5 17.75 34585.72917 34585.73958 -1.000   -1 0
2026 09 09 18.0 18.25 34585.75000 34585.76042 -1.000   -1 0
2026 09 09 18.5 18.75 34585.77083 34585.78125 -1.000   -1 0
2026 09 09 19.0 19.25 34585.79167 34585.80208 -1.000   -1 0
2026 09 09 19.5 19.75 34585.81250 34585.82292 -1.000   -1 0
2026 09 09 20.0 20.25 34585.83333 34585.84375 -1.000   -1 0
2026 09 09 20.5 20.75 34585.85417 34585.86458 -1.000   -1 0
2026 09 09 21.0 21.25 34585.87500 34585.88542 -1.000   -1 0
2026 09 09 21.5 21.75 34585.89583 34585.90625 -1.000   -1 0
2026 09 09 22.0 22.25 34585.91667 34585.92708 -1.000   -1 0
2026 09 09 22.5 22.75 34585.93750 34585.94792 -1.000   -1 0
2026 09 09 23.0 23.25 34585.95833 34585.96875 -1.000   -1 0
2026 09 09 23.5 23.75 34585.97917 34585.98958 -1.000   -1 0
